_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
90153,NONE,,YES,NO,YES,YES,NO,Not Available,4.0,47.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,2002.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,0.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M6M,,YES,,PRIVATE,REAR OF THE BUILDING,4155086.0,NO,YES,NO,1720  KEELE ST ,NO,,,,UNAVAILABLE,5,SINGLE PANE,1955.0,,2017.0,,,,,,,,
90154,NONE,,YES,YES,YES,NO,NO,Not Available,4.0,43.0,,,,,,,,NO,Green Bin / Organics,YES,NO,NEXT TO GARBAGE BINS,REPLACED,2007.0,HOT WATER,NO,YES,NO,NO,YES,7-10,BASEMENT,YES,0.0,0.0,0.0,4.0,NO,YES,Surface Parking,M6M,,YES,ARTISAN CORPORATION,PRIVATE,NEXT TO GARBAGE BINS,4155095.0,NO,YES,NO,4  GREENTREE CRT ,NO,,,,FREE,5,DOUBLE PANE,1955.0,,2017.0,,,,,,,,
90155,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,YES,YES,YES,Not Available,12.0,237.0,"DEC 31, 2014",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,REAR OF BUILDING,ORIGINAL,1996.0,HOT WATER,YES,YES,NO,YES,YES,8:00AM TO 8:00PM,MAIN FLOOR OF BUILDING,YES,2.0,4.0,3.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1W,,YES,,TCHC,REAR OF BUILDING,4155585.0,NO,NO,NO,2821  BIRCHMOUNT RD ,YES,YES,1969.0,NO,BOTH,22,DOUBLE PANE,1969.0,,2017.0,,,,,,,,
90156,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,YES,YES,YES,Not Available,24.0,447.0,"MAR 27, 2017",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,REAR OF BUILDING,ORIGINAL,1969.0,HOT WATER,YES,YES,NO,YES,YES,8:00AM TO 8:00PM,MAIN FLOOR OF BUILDING,YES,1.0,6.0,4.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6P,,YES,,TCHC,REAR OF BUILDING,4155587.0,NO,NO,NO,100  HIGH PARK AVE ,YES,YES,1969.0,YES,BOTH,4,DOUBLE PANE,1969.0,1998.0,2017.0,,,,,,,,
90157,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,4.0,105.0,"DEC 31, 2000",,,,FULL REPLACEMENT - MCE,REPLACED,YES,NO,Recycling bins,YES,YES,,ORIGINAL,1979.0,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,1.0,5.0,1.0,1.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M5T,,YES,,TCHC,TBD,4155598.0,NO,NO,NO,6  HENRY ST ,YES,YES,1979.0,NO,UNAVAILABLE,11,DOUBLE PANE,1978.0,2004.0,2017.0,,,,,,,,
90158,NONE,,YES,YES,YES,YES,YES,0 indoor parking spots and 6 outdoor parking spots,6.0,60.0,"SEP 15, 2017",,,,FULL REPLACEMENT - MCE,REPLACED,,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,ORIGINAL,1969.0,HOT WATER,NO,YES,NO,NO,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,2.0,3.0,1.0,11.0,YES,YES,Surface Parking,M4L,,NO,TCH,TCHC,COMPACTOR ROOM,4155606.0,NO,NO,NO,1555  QUEEN ST E,YES,YES,1969.0,YES,PAID,14,DOUBLE PANE,1969.0,2000.0,2017.0,,,,,,,,
90159,NONE,,YES,YES,YES,YES,YES,Not Available,4.0,43.0,"DEC 31, 2014",,,,FULL REPLACEMENT - MCE,REPLACED,,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,ORIGINAL,1970.0,HOT WATER,YES,YES,NO,NO,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,2.0,4.0,1.0,6.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4L,,YES,TCH,TCHC,COMPACTOR ROOM,4155612.0,NO,NO,NO,93  EDGEWOOD AVE ,YES,YES,1970.0,NO,PAID,19,DOUBLE PANE,1956.0,2001.0,2017.0,,,,,,,,
90160,NONE,Child play area,YES,NO,YES,YES,NO,0 indoor parking spots and 12 outdoor parking spots,4.0,56.0,"AUG 16, 2015",PLAY STRUCTURE WITH SLIDE,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,NORTH SIDE OF BUILDING,ORIGINAL,1964.0,HOT WATER,NO,YES,NO,YES,YES,8 AM TO 10 PM,BASEMENT,NO,0.0,0.0,1.0,7.0,NO,YES,Surface Parking,M3C,AS PER LEASING AGREEMENT,YES,,PRIVATE,NORTH SIDE OF BUILDING,4156610.0,NO,YES,NO,32  ST DENNIS DR ,YES,YES,1964.0,YES,FREE,16,DOUBLE PANE,1964.0,2009.0,2017.0,,,,,,,,
90161,CENTRAL AIR,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Sauna",YES,YES,YES,YES,YES,25 indoor parking spots and 0 outdoor parking spots,22.0,332.0,"FEB 2, 2016",,,BBQ PATIO AREA,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,ORIGINAL,2010.0,HOT WATER,YES,YES,NO,YES,NO,,,YES,40.0,4.0,3.0,,NO,NO,"Underground Garage , Garage accessible thru buildg",,,YES,KG GROUP,PRIVATE,P1 AND P2,4156614.0,NO,YES,NO,105  HARRISON GARDEN BLVD ,YES,YES,2010.0,YES,FREE,18,DOUBLE PANE,2010.0,,2017.0,,,,,,,,
90162,NONE,,YES,YES,YES,YES,YES,Not Available,14.0,175.0,"DEC 12, 2012",,,,ELEVATOR MECHANICAL RETROFIT,REPLACED,YES,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING,REPLACED,2006.0,HOT WATER,NO,YES,YES,YES,YES,9 AM TO 10 PM,FIRST FLOOR,YES,0.0,2.0,3.0,18.0,NO,NO,"Underground Garage , Garage accessible thru buildg",M1W,,YES,PARK PROPERTY MANAGEMENT INC,PRIVATE,BACK OF BUILDING,4156624.0,NO,YES,NO,20  AURORA CRT ,YES,YES,1974.0,NO,FREE,22,SINGLE PANE,1974.0,2009.0,2017.0,,,,,,,,
90163,CENTRAL AIR,"Indoor recreation room , Indoor exercise room",YES,YES,YES,NO,YES,1 indoor parking spots and 1 outdoor parking spots,13.0,155.0,"SEP 29, 2016",,"WEIGHTS, TREADMILL, BIKE ",,,ORIGINAL,YES,YES,Green Bin / Organics,YES,YES,BASEMENT,ORIGINAL,2010.0,FORCED AIR GAS,NO,YES,YES,YES,YES,24 HR ,GROUND LEVEL,YES,2.0,2.0,2.0,24.0,NO,NO,"Underground Garage , Garage accessible thru buildg",M4P,,YES,,PRIVATE,BASEMENT,4153847.0,NO,YES,NO,1000  MOUNT PLEASANT RD ,YES,YES,2010.0,YES,PAID,15,THERMAL,2010.0,,2017.0,,,,,,,,
90164,NONE,,YES,YES,YES,NO,NO,0 indoor parking spots and 5 outdoor parking spots,3.0,34.0,,,,,,,,NO,Recycling bins,YES,NO,,ORIGINAL,1960.0,HOT WATER,NO,YES,NO,NO,YES,8AM TO 8PM,BASEMENT,YES,0.0,15.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M4K,DOG,NO,GOLDEN EQUITY PROPERTIES,PRIVATE,SIDE OF THE BUILDING,4154108.0,NO,NO,NO,15  BATER AVE ,YES,YES,1960.0,,UNAVAILABLE,14,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
90165,NONE,,YES,YES,YES,YES,YES,Not Available,22.0,129.0,"FEB 19, 2014",,,,MODERNIZATION ,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,2017.0,HOT WATER,NO,YES,NO,YES,YES,24/7,GROUND FLOOR,YES,129.0,1.0,2.0,14.0,NO,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4K,,YES,GREENWIN INC.,PRIVATE,EAST SIDE OF PROPERTY,4154111.0,NO,YES,NO,25  COSBURN AVE ,YES,YES,1962.0,YES,UNAVAILABLE,14,DOUBLE PANE,1962.0,2011.0,2017.0,,,,,,,,
90166,NONE,,YES,YES,YES,YES,YES,Not Available,12.0,155.0,"JAN 23, 2014",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTDOOR,ORIGINAL,1973.0,HOT WATER,YES,YES,NO,YES,YES,8AM-10PM,GROUND FLOOR,YES,155.0,0.0,2.0,16.0,NO,YES,"Underground Garage , Garage accessible thru buildg",M4K,,YES,ENDERBY DEVELOPMENTS LIMITED,PRIVATE,OUTOOORS,4154112.0,NO,NO,NO,55  COSBURN AVE ,YES,YES,1973.0,YES,UNAVAILABLE,14,DOUBLE PANE,1973.0,2005.0,2017.0,,,,,,,,
90167,NONE,,YES,YES,YES,YES,NO,Not Available,11.0,86.0,"DEC 1, 2017",,,,COMPLETE RETROFIT,REPLACED,,NO,Recycling bins,YES,NO,,REPLACED,2012.0,HOT WATER,NO,YES,NO,NO,YES,9 TO 9,MAIN FLOOR,NO,0.0,0.0,2.0,6.0,NO,YES,"Underground Garage , Garage accessible thru buildg",M4K,,YES,GREENWIN INC.,PRIVATE,SIDE,4154114.0,NO,YES,NO,91  COSBURN AVE ,YES,YES,2007.0,YES,UNAVAILABLE,14,DOUBLE PANE,1986.0,2017.0,2018.0,,,,,,,,
90168,INDIVIDUAL UNITS,,YES,YES,YES,YES,YES,15 indoor parking spots and 0 outdoor parking spots,12.0,160.0,"MAY 15, 2017",,,,EVERYTHING - ALL PARTS,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,ORIGINAL,1968.0,HOT WATER,YES,YES,NO,YES,YES,24 HOURS/7 DAYS,GROUND FLOOR,YES,160.0,1.0,2.0,14.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",M4K,NO RESTRICTIONS,YES,GREENWIN INC,PRIVATE,INSIDE AND OUTSIDE,4154116.0,NO,NO,NO,130  GOWAN AVE ,YES,YES,1968.0,YES,FREE,14,DOUBLE PANE,1968.0,2007.0,2017.0,,,,,,,,
90169,CENTRAL AIR,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,11.0,164.0,"OCT 1, 2016",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,REAR OF BUILDING,REPLACED,2017.0,FORCED AIR GAS,YES,YES,YES,YES,YES,24/7,BASEMENT,NO,11.0,2.0,2.0,18.0,NO,YES,Surface Parking,M3H,,NO,GREENWIN INC.,SOCIAL HOUSING,REAR OF BUILDING,4154608.0,NO,NO,NO,4300  BATHURST ST ,YES,YES,1989.0,YES,FREE,6,DOUBLE PANE,1989.0,,2017.0,,,,,,,,
90170,NONE,,YES,YES,YES,NO,NO,Not Available,4.0,40.0,"JAN 8, 2019",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,NO,OUTSIDE,ORIGINAL,1977.0,HOT WATER,NO,YES,NO,NO,YES,24/7,1ST FLOOR,YES,0.0,0.0,1.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M6M,,YES,,PRIVATE,OUTSIDE,4155128.0,NO,NO,NO,12  BUTTONWOOD AVE ,NO,,,YES,UNAVAILABLE,5,DOUBLE PANE,1977.0,,2017.0,,,,,,,,
90171,NONE,,YES,YES,YES,YES,YES,Not Available,6.0,76.0,"NOV 25, 2016",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1967.0,HOT WATER,YES,YES,NO,YES,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,3.0,5.0,1.0,8.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9N,,YES,DEL MANAGMENT,TCHC,BACK OF BUILDING,4155621.0,NO,NO,NO,1570  JANE ST ,YES,YES,1967.0,YES,PAID,5,DOUBLE PANE,1967.0,2016.0,2017.0,,,,,,,,
90172,NONE,,YES,YES,YES,NO,YES,Not Available,3.0,31.0,,,,,,,,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1957.0,HOT WATER,NO,YES,NO,NO,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,1.0,3.0,0.0,6.0,YES,YES,Surface Parking,M6A,,YES,TCH,TCHC,BACK OF BUILDING,4155627.0,NO,NO,NO,3  LEILA LANE ,YES,YES,1970.0,,PAID,8,DOUBLE PANE,1957.0,,2017.0,,,,,,,,
90173,NONE,,YES,YES,YES,NO,YES,Not Available,3.0,31.0,,,,,,,,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1957.0,HOT WATER,NO,YES,NO,NO,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,2.0,3.0,0.0,6.0,YES,YES,Surface Parking,M6A,,YES,TCH,TCHC,BACK OF BUILDING,4155640.0,NO,NO,NO,20  VARNA DR ,YES,YES,1970.0,,PAID,8,DOUBLE PANE,1957.0,,2017.0,,,,,,,,
90174,NONE,,YES,YES,YES,YES,YES,Not Available,21.0,118.0,"JUL 15, 2015",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTDOOR,ORIGINAL,1970.0,ELECTRIC,YES,YES,NO,YES,YES,8AM,GROUND FLOOR,YES,118.0,0.0,2.0,12.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4K,,YES,ENDERBY DEVELOPMENTS LIMITED,PRIVATE,OUTDOOR,4154117.0,NO,NO,NO,60  GOWAN AVE ,YES,YES,1970.0,YES,FREE,14,DOUBLE PANE,1970.0,2011.0,2017.0,,,,,,,,
90175,NONE,,YES,YES,YES,YES,NO,0 indoor parking spots and 8 outdoor parking spots,5.0,26.0,,,,,,,,NO,Green Bin / Organics,YES,NO,NORTH SIDE OF BUILDING,REPLACED,2013.0,HOT WATER,NO,YES,NO,NO,YES,24/7,BASEMENT,NO,0.0,0.0,0.0,4.0,YES,YES,,M4K,,YES,,PRIVATE,NORTH SIDE OF BUILDING,4154131.0,NO,NO,NO,30  COSBURN AVE ,NO,,,,UNAVAILABLE,14,DOUBLE PANE,1965.0,,2017.0,,,,,,,,
90176,NONE,,YES,NO,YES,YES,YES,Not Available,6.0,82.0,"AUG 5, 2016",,,,MECHANICAL,REPLACED,,NO,Unknown,YES,NO,,REPLACED,2016.0,HOT WATER,NO,YES,NO,NO,YES,8AM-10PM,TWO - SECOND AND FIFTH FLOORS,YES,1.0,1.0,2.0,8.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4H,,YES,,PRIVATE,,4154147.0,NO,NO,NO,6  MILEPOST PL ,YES,YES,1955.0,YES,FREE,15,DOUBLE PANE,1955.0,2015.0,2017.0,,,,,,,,
90177,NONE,"Indoor pool , Sauna",YES,YES,YES,YES,NO,0 indoor parking spots and 20 outdoor parking spots,17.0,202.0,"AUG 19, 2020",,,,FULL MODERNIZATION,REPLACED,,NO,Recycling bins,YES,YES,,REPLACED,2008.0,HOT WATER,NO,YES,NO,NO,YES,8AM-10PM,BASEMENT,YES,0.0,1.0,3.0,18.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M2R,,YES,PINEDALE PROPERTIES LTD,PRIVATE,REAR OF BUILDING,4154630.0,NO,YES,NO,5  FISHERVILLE RD ,YES,YES,1970.0,YES,FREE,6,DOUBLE PANE,1970.0,2015.0,2017.0,,,,,,,,
90178,,,,,,,, indoor parking spots and  outdoor parking spots,3.0,21.0,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,0.0,,,,,M3H,,,,PRIVATE,,4154636.0,,,,15  WILMINGTON AVE ,,,,,,6,DOUBLE PANE,1958.0,,,,,,,,,,
90179,NONE,,YES,YES,NO,YES,NO,Not Available,3.0,17.0,,,,,,,,NO,Green Bin / Organics,YES,NO,GARBAGE AREA,REPLACED,2004.0,HOT WATER,NO,YES,NO,NO,YES,OPEN,GROUND FLOOR,YES,0.0,0.0,0.0,5.0,NO,YES,Surface Parking,M3H,,YES,,PRIVATE,GARBAGE AREA,4154637.0,NO,YES,NO,118  OVERBROOK PL ,YES,YES,1985.0,,UNAVAILABLE,6,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
90180,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,12.0,95.0,"JAN 1, 2016",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING,REPLACED,2003.0,HOT WATER,NO,YES,NO,YES,YES,24/7,BASEMENT,YES,95.0,0.0,2.0,8.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M2R,,YES,,PRIVATE,BACK OF BUILDING,4154642.0,NO,YES,NO,4  GOLDFINCH CRT ,YES,YES,1969.0,NO,UNAVAILABLE,6,DOUBLE PANE,1969.0,,2017.0,,,,,,,,
90181,NONE,,YES,YES,YES,YES,YES,0 indoor parking spots and 15 outdoor parking spots,6.0,179.0,"AUG 15, 2017",,,,ALL PARTS EXCEPT FOR DOORS,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTDOOR,ORIGINAL,1960.0,HOT WATER,YES,YES,NO,YES,YES,ALL HOURS,FIRST FLOOR,YES,2.0,4.0,2.0,20.0,YES,YES,"Ground Level Garage , Surface Parking",M2R,,YES,RANEE MANAGEMENT,PRIVATE,OUTDOOR,4154645.0,NO,YES,NO,521-523  FINCH AVE W,NO,,,YES,FREE,6,DOUBLE PANE,1960.0,2010.0,2017.0,,,,,,,,
90182,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,11.0,,,,,,,,NO,Green Bin / Organics,YES,NO,,ORIGINAL,1975.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,11.0,0.0,2.0,NO,YES,Surface Parking,M9N,,YES,,PRIVATE,,4155150.0,NO,NO,NO,166  QUEENS DR ,NO,,,,UNAVAILABLE,5,DOUBLE PANE,1950.0,,2017.0,,,,,,,,
90183,NONE,,YES,YES,YES,YES,NO,Not Available,5.0,31.0,"JAN 5, 2017",,,,COMPLETELY NEW ELEVATOR,REPLACED,YES,YES,Green Bin / Organics,YES,NO,AT THE BACK OF THE BUILDING,REPLACED,2010.0,HOT WATER,NO,YES,NO,YES,YES,ANY TIME,2,YES,0.0,31.0,1.0,4.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9N,,YES,,PRIVATE,AT THE BACK OF THE BUILDING,4155152.0,NO,YES,NO,150  ROSEMOUNT AVE ,YES,YES,2010.0,YES,FREE,5,DOUBLE PANE,1974.0,2015.0,2017.0,,,,,,,,
90184,CENTRAL AIR,"Indoor pool , Indoor recreation room , Indoor exercise room , Sauna",YES,YES,YES,YES,YES,Not Available,12.0,235.0,"MAY 5, 2016",,CARDIO AND WEIGHT ROOMS,,INTERIOR AND CONTROLS,REPLACED,YES,NO,Green Bin / Organics,YES,YES,LOADING DOCK,REPLACED,2008.0,HOT WATER,NO,YES,YES,YES,YES,8AM-11PM,BASEMENT,YES,235.0,0.0,3.0,24.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M2M,,YES,,PRIVATE,LOADING DOCK,4155675.0,NO,YES,NO,4005  BAYVIEW AVE ,YES,YES,1971.0,NO,FREE,17,DOUBLE PANE,1971.0,2005.0,2017.0,,,,,,,,
90185,NONE,Child play area,YES,YES,YES,YES,NO,Not Available,20.0,159.0,"NOV 10, 2015",CHILDREN'S PLAY STRUCTURE ,,,,ORIGINAL,YES,NO,Recycling bins,YES,YES,,ORIGINAL,1968.0,HOT WATER,NO,YES,NO,YES,YES,24 HRS ,BASEMENT ,YES,0.0,0.0,3.0,14.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3M,MUST BE LEASHED ,YES,PSN PROPERTIES INC. ,PRIVATE,REAR OF BUILDING ,4154434.0,NO,YES,NO,195  EXBURY RD ,YES,YES,1968.0,YES,FREE,6,DOUBLE PANE,1968.0,,2017.0,,,,,,,,
90186,NONE,,YES,YES,YES,YES,NO,Not Available,7.0,72.0,"AUG 2, 2017",,,,CAR,REPLACED,,NO,Recycling bins,YES,YES,,REPLACED,2007.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,2ND FLOOR,YES,0.0,0.0,2.0,8.0,NO,YES,"Ground Level Garage , Surface Parking",M3A,NONE,YES,GOLFOUR PROPERTY SERVICES INC.,PRIVATE,OUTSIDE IN GARBAGE EMCLOSURE,4154916.0,NO,YES,NO,267  ROYWOOD DR ,NO,,,YES,FREE,16,DOUBLE PANE,1962.0,2002.0,2017.0,,,,,,,,
90187,NONE,,YES,YES,YES,YES,NO,Not Available,7.0,73.0,"DEC 7, 2015",,,,,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,2005.0,HOT WATER,YES,YES,NO,YES,YES,9:00AM-10:00PM,GROUND FLOOR,NO,0.0,1.0,2.0,8.0,NO,NO,"Underground Garage , Ground Level Garage , Surface Parking",M3A,,YES,HANNAH PROPERTY MANAGEMENT,PRIVATE,BEHIND THE BUILDING,4154919.0,NO,YES,NO,1274  YORK MILLS RD ,NO,,,YES,FREE,16,DOUBLE PANE,1970.0,2013.0,2017.0,,,,,,,,
90188,NONE,,YES,NO,YES,YES,NO,Not Available,4.0,25.0,"MAR 1, 2017",,,,,REPLACED,,NO,Green Bin / Organics,YES,NO,OUTDOOR,REPLACED,2013.0,HOT WATER,NO,YES,NO,NO,YES,8:00 AM - 10:00 PM,"FLOORS 2, 3, 4",YES,0.0,29.0,1.0,6.0,NO,YES,"Ground Level Garage , Surface Parking",M3A,,YES,ARMBRO GROUP INC,PRIVATE,OUTDOOR,4154925.0,NO,YES,NO,1222  YORK MILLS RD ,YES,YES,1963.0,YES,FREE,16,DOUBLE PANE,1963.0,2016.0,2017.0,,,,,,,,
90189,INDIVIDUAL UNITS,,YES,NO,YES,NO,NO,Not Available,4.0,32.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,1990.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,0.0,0.0,4.0,NO,YES,Ground Level Garage,M5P,NONE,YES,,PRIVATE,BACK OF THE BUILDING,4154935.0,NO,NO,NO,1535-1539  BATHURST ST ,NO,,,,UNAVAILABLE,12,SINGLE PANE,1943.0,,2017.0,,,,,,,,
90190,NONE,"Outdoor pool , Indoor exercise room",YES,YES,YES,YES,YES,Not Available,23.0,175.0,"JUN 1, 2017",,GYM,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING ,ORIGINAL,1966.0,ELECTRIC,NO,YES,NO,NO,YES,24 HOURS; 7 DAYS A WEEK,MAIN FLOOR,NO,175.0,4.0,3.0,10.0,NO,YES,"Underground Garage , Surface Parking",M6C,,YES,BARNEY RIVER ,PRIVATE,BACK OF BUILDING ,4154940.0,NO,NO,NO,111  RAGLAN AVE ,YES,YES,1966.0,YES,FREE,12,DOUBLE PANE,1967.0,,2017.0,,,,,,,,
90191,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,18.0,,,,,,,NO,YES,Recycling bins,YES,NO,,REPLACED,1996.0,HOT WATER,NO,NO,NO,YES,YES,24 HOURS,BASEMENT,YES,0.0,0.0,0.0,4.0,NO,YES,,M6C,NONE,YES,VESTA MANAGEMENT INC,PRIVATE,SIDE OF BUIDLING,4154941.0,NO,NO,NO,5  CLAXTON BLVD ,YES,YES,2014.0,,UNAVAILABLE,12,DOUBLE PANE,1937.0,,2017.0,,,,,,,,
90192,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,19.0,,,,,,,,YES,Green Bin / Organics,YES,NO,UNITS,REPLACED,2005.0,HOT WATER,NO,NO,NO,NO,YES,24HR,BASEMENT,YES,0.0,1.0,0.0,4.0,YES,YES,Surface Parking,M6C,,NO,CANAL PROPERTY MANAGEMENT,PRIVATE,SIDE OF BUILDING,4154942.0,NO,NO,NO,3  CLAXTON BLVD ,NO,,,,UNAVAILABLE,12,SINGLE PANE,1955.0,,2017.0,,,,,,,,
90193,NONE,,YES,NO,YES,YES,NO,Not Available,3.0,16.0,,,,,,,,NO,Green Bin / Organics,YES,NO,EXTERIOR,REPLACED,2012.0,FORCED AIR GAS,NO,YES,NO,NO,YES,8-10,BASEMENT,YES,0.0,0.0,0.0,2.0,NO,YES,"Ground Level Garage , Surface Parking",M9W,PREFER NO PETS,NO,,PRIVATE,EXTERIOR,4155434.0,NO,YES,NO,14  TORBOLTON DR ,YES,NO,1950.0,,UNAVAILABLE,1,DOUBLE PANE,1950.0,,2017.0,,,,,,,,
90194,NONE,,YES,YES,YES,YES,NO,Not Available,7.0,68.0,"JAN 26, 2015",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,NO,PARKING LOT,ORIGINAL,1962.0,HOT WATER,NO,YES,NO,NO,YES,"24 HOURS, 7 DAYS A WEEK",MAIN FLOOR,YES,0.0,0.0,1.0,16.0,NO,YES,Surface Parking,M9W,,YES,ORCHARD APARTMENTS (2328) INC,PRIVATE,PARKING LOT,4155442.0,NO,NO,NO,2328  ISLINGTON AVE ,YES,YES,1962.0,YES,FREE,1,DOUBLE PANE,1962.0,,2017.0,,,,,,,,
